Player,Pos,3P,TRB,BLK
Bismack Biyombo,C,0.0,7.0,1.1
Dwight Howard,C,0.0,12.7,1.2
Channing Frye,C,1.9,3.9,0.5
Garrett Temple,SG,1.3,2.8,0.4
Mason Plumlee,C,0.0,7.5,1.1
Georgios Papagiannis,C,0.0,3.9,0.8
Robin Lopez,C,0.0,6.4,1.4
JaVale McGee,C,0.0,3.2,0.9
Austin Rivers,SG,1.5,2.2,0.1
Richaun Holmes,C,0.5,5.5,1.0
Will Barton,SG,1.5,4.3,0.5
Wesley Matthews,SG,2.4,3.5,0.2
Tarik Black,C,0.0,5.1,0.7
Jonas Valanciunas,C,0.0,9.5,0.8
Kosta Koufos,C,0.0,5.7,0.7
Jamal Murray,SG,1.4,2.6,0.3
Danny Green,SG,1.7,3.3,0.8
Marco Belinelli,SG,1.4,2.4,0.1
Frank Kaminsky,C,1.5,4.5,0.5
Willie Reed,C,0.0,4.7,0.7
Jordan Crawford,SG,1.9,1.8,0.1
DeMarcus Cousins,C,1.8,11.0,1.3
E'Twaun Moore,SG,1.1,2.1,0.4
Nik Stauskas,SG,1.7,2.8,0.4
Troy Daniels,SG,2.1,1.5,0.1
Bradley Beal,SG,2.9,3.1,0.3
Roy Hibbert,C,0.0,3.2,1.0
Patrick Beverley,SG,1.6,5.9,0.4
Gary Harris,SG,1.9,3.1,0.1
Willie Cauley-Stein,C,0.0,4.5,0.6
Buddy Hield,SG,1.8,3.3,0.1
Jamal Crawford,SG,1.4,1.6,0.2
Andre Drummond,C,0.0,13.8,1.1
Sean Kilpatrick,SG,1.5,4.0,0.1
Josh Richardson,SG,1.4,3.2,0.7
Pau Gasol,C,0.9,7.8,1.1
Myles Turner,C,0.5,7.3,2.1
Nicolas Batum,SG,1.8,6.2,0.4
Tony Snell,SG,1.8,3.1,0.2
Manu Ginobili,SG,1.3,2.3,0.2
Nikola Jokic,C,0.6,9.8,0.8
Avery Bradley,SG,2.0,6.1,0.2
Karl-Anthony Towns,C,1.2,12.3,1.3
Jordan Clarkson,SG,1.4,3.0,0.1
Evan Fournier,SG,1.9,3.1,0.1
Nene Hilario,C,0.0,4.2,0.6
Alex Len,C,0.0,6.6,1.3
Kentavious Caldwell-Pope,SG,2.0,3.3,0.2
C.J. McCollum,SG,2.3,3.6,0.5
Devin Booker,SG,1.9,3.2,0.3
Allen Crabbe,SG,1.7,2.9,0.3
Alexis Ajinca,C,0.0,4.5,0.6
Chris Andersen,C,0.0,2.6,0.6
Alex Abrines,SG,1.4,1.3,0.1
Andrew Bogut,C,0.0,8.1,0.9
Ben McLemore,SG,1.1,2.1,0.1
Dion Waiters,SG,1.8,3.3,0.4
Eric Gordon,SG,3.3,2.7,0.5
Justin Hamilton,C,0.9,4.1,0.7
Nikola Vucevic,C,0.3,10.4,1.0
Al Horford,C,1.3,6.8,1.3
Lou Williams,SG,2.0,2.5,0.2
Victor Oladipo,SG,1.9,4.3,0.3
Iman Shumpert,SG,1.2,2.9,0.4
Salah Mejri,C,0.0,4.2,0.8
Zach LaVine,SG,2.6,3.4,0.2
Tristan Thompson,C,0.0,9.2,1.1
Klay Thompson,SG,3.4,3.7,0.5
John Henson,C,0.0,5.1,1.3
Marc Gasol,C,1.4,6.3,1.3
Wayne Ellington,SG,2.4,2.1,0.1
Anthony Davis,C,0.5,11.8,2.2
Rodney Hood,SG,1.9,3.4,0.2
Clint Capela,C,0.0,8.1,1.2
Dewayne Dedmon,C,0.0,6.5,0.8
J.J. Redick,SG,2.6,2.2,0.2
DeAndre Jordan,C,0.0,13.8,1.7
A.J. Hammons,C,0.2,1.6,0.6
Jason Smith,C,0.5,3.5,0.7
Justin Holiday,SG,1.2,2.7,0.4
